id,best_trajectory,trajectory,nodes,time,rs_trajectory,rs_nodes,rs_time,r_trajectory,r_nodes,r_time
0000_default_env,"[4, 4, 4, 2, 3, 3, 3, 3, 2, 3, 3, 2, 2, 4, 1, 3, 1, 1, 4, 4, 2, 3, 1, 3, 2, 1, 1, 4, 4, 4]","[4, 4, 4, 2, 3, 3, 3, 3, 2, 3, 3, 2, 2, 4, 1, 3, 1, 1, 4, 4, 2, 3, 1, 3, 2, 1, 1, 4, 4, 4]",47,853.5928156375885,"[4, 4, 4, 2, 3, 3, 3, 3, 2, 3, 3, 2, 2, 4, 1, 3, 1, 1, 4, 4, 2, 3, 1, 3, 2, 1, 1, 4, 4, 4]",48,35.38318991661072,"[4, 4, 4, 2, 3, 3, 3, 3, 2, 3, 3, 2, 2, 4, 1, 3, 1, 1, 4, 4, 2, 3, 1, 3, 2, 4, 1, 1, 4, 4]",70,51.751057386398315
0001_generated_env,"[4, 4, 1, 4, 4, 2, 4, 2, 2, 3, 1, 1, 1, 1, 1, 2, 2, 3, 3, 2, 2, 3, 3, 3, 3, 1, 4, 4, 4, 2, 4, 4, 1, 1, 1, 1, 4, 1, 3, 2, 2, 2, 2, 4, 4, 2, 2, 3, 1, 1, 1, 1, 1, 4, 1, 1, 3, 3, 2, 3]","[4, 4, 1, 4, 4, 2, 4, 2, 2, 3, 1, 1, 1, 1, 1, 2, 2, 3, 3, 2, 2, 3, 3, 3, 3, 1, 4, 4, 4, 2, 4, 4, 1, 1, 1, 1, 4, 1, 3, 3, 4, 2, 4, 2, 2, 4, 2, 2, 2, 3, 1, 1, 1, 1, 1, 4, 1, 1, 3, 3]",102,4618.071837425232,"[4, 4, 1, 4, 4, 2, 4, 2, 2, 3, 1, 1, 1, 3, 3, 3, 2, 2, 3, 3, 3, 1, 4, 4, 4, 2, 4, 4, 1, 1, 1, 1, 2, 2, 4, 1, 1, 1, 3, 4, 4, 2, 2, 2, 2, 2, 2, 3, 1, 1, 1, 1, 1, 4, 1, 1, 3, 3, 2, 3]",118,2208.3381962776184,"[4, 4, 1, 4, 4, 2, 4, 2, 2, 3, 1, 1, 1, 1, 2, 3, 3, 3, 2, 2, 3, 3, 3, 1, 4, 4, 4, 2, 4, 4, 1, 1, 1, 1, 2, 4, 1, 1, 3, 2, 4, 2, 2, 2, 4, 2, 2, 3, 1, 1, 1, 1, 1, 4, 1, 1, 3, 3, 2, 2]",136,2228.268040895462
0002_generated_env,"[4, 4, 3, 3, 1, 4, 4, 4, 4, 4, 4, 2, 4, 2, 3, 3, 1, 2, 3]","[4, 4, 3, 3, 1, 4, 4, 4, 4, 4, 4, 2, 4, 2, 3, 3, 1, 2, 3]",30,574.683824300766,"[4, 4, 3, 3, 1, 4, 4, 4, 4, 4, 4, 2, 4, 2, 3, 3, 1, 2, 3]",34,9.719354629516602,"[4, 4, 3, 3, 1, 4, 4, 4, 4, 4, 4, 2, 4, 2, 3, 3, 1, 2, 3]",46,11.888246536254883
0003_generated_env,"[1, 1, 4, 1, 1, 3, 1, 1, 1, 4, 4, 2, 3, 2, 2, 2, 2, 1, 4, 2, 3, 2, 3, 2, 4]","[1, 1, 4, 1, 4, 2, 1, 3, 1, 3, 1, 1, 1, 4, 4, 2, 3, 2, 2, 2, 2, 2, 3, 2, 4]",28,392.7849335670471,"[1, 1, 4, 1, 4, 2, 1, 3, 1, 3, 1, 1, 1, 4, 4, 2, 3, 2, 2, 2, 2, 2, 3, 2, 4]",32,12.640705347061157,"[1, 1, 4, 1, 1, 3, 1, 1, 1, 4, 4, 2, 3, 2, 2, 2, 4, 2, 1, 3, 2, 2, 3, 2, 4]",42,15.81784987449646
0004_generated_env,"[4, 4, 2, 4, 2, 4, 4, 1, 1, 4, 4, 2, 3, 3, 3, 3, 3, 1, 3, 2, 1, 4, 4, 4, 4, 4, 2, 4, 2, 2, 3, 1, 4, 1, 3, 3]","[4, 4, 4, 4, 4, 4, 3, 2, 2, 4, 4, 1, 3, 3, 3, 3, 3, 1, 3, 2, 4, 4, 2, 4, 4, 1, 4, 4, 2, 2, 3, 1, 4, 1, 3, 3]",50,1825.7029321193695,"[4, 4, 2, 4, 2, 4, 4, 1, 1, 4, 4, 2, 3, 3, 3, 3, 3, 1, 3, 2, 4, 1, 4, 4, 4, 4, 2, 4, 2, 2, 3, 1, 4, 1, 3, 3]",68,159.18725895881653,"[4, 4, 4, 4, 4, 4, 3, 2, 2, 4, 4, 1, 3, 3, 3, 3, 3, 1, 3, 2, 4, 4, 2, 4, 4, 1, 4, 4, 2, 2, 3, 1, 4, 1, 3, 3]",72,79.22653412818909
0005_generated_env,"[2, 4, 4, 2, 2, 3, 3, 4, 1, 3, 3, 2, 1, 3, 4, 1, 4, 1, 4, 2, 4, 2, 3, 3, 2, 3, 2, 4, 2, 4, 2, 3]","[2, 4, 4, 2, 2, 3, 3, 4, 1, 3, 3, 2, 2, 1, 1, 3, 4, 1, 4, 1, 4, 2, 4, 2, 3, 3, 2, 2, 2, 4, 2, 3]",40,1598.4070451259613,"[2, 4, 4, 2, 2, 3, 3, 4, 1, 3, 3, 2, 1, 3, 4, 1, 4, 1, 4, 2, 4, 2, 3, 3, 2, 3, 2, 4, 2, 4, 2, 3]",56,68.59586596488953,"[2, 4, 4, 2, 2, 3, 3, 4, 1, 3, 3, 3, 4, 2, 1, 4, 1, 1, 4, 2, 4, 2, 3, 3, 2, 3, 2, 4, 2, 4, 2, 3]",76,80.96348333358765
0006_generated_env,"[4, 4, 2, 4, 4, 3, 3, 1, 3, 3, 2, 4, 1, 4, 4, 4]","[4, 4, 4, 4, 3, 3, 2, 4, 4, 1, 3, 3, 3, 3, 2, 4]",23,354.26512145996094,"[4, 4, 4, 3, 2, 4, 4, 3, 1, 4, 3, 3, 3, 3, 2, 4]",26,5.173202991485596,"[4, 4, 2, 4, 4, 3, 3, 1, 3, 3, 2, 4, 1, 4, 4, 4]",25,4.38012433052063
0007_generated_env,"[1, 2, 3, 1, 1, 1, 4, 4, 4, 4, 1, 3, 3, 2, 3, 1, 2, 3, 2, 2, 4, 1]","[1, 2, 3, 1, 1, 1, 4, 4, 4, 4, 1, 3, 3, 2, 3, 1, 2, 3, 2, 2, 4, 1]",30,540.432621717453,"[1, 2, 3, 1, 1, 1, 4, 4, 4, 4, 1, 3, 3, 2, 3, 1, 2, 3, 2, 2, 4, 1]",29,9.000224590301514,"[3, 1, 1, 1, 4, 4, 4, 4, 1, 3, 3, 2, 3, 1, 2, 2, 3, 2, 2, 4, 1, 1]",46,12.42943263053894
0008_generated_env,"[2, 2, 1, 4, 4, 4, 4, 2, 3, 1, 3, 3, 2, 2, 3, 2, 4, 4, 4, 1, 1, 2, 3, 3, 1, 1, 4, 4, 4, 4]","[2, 2, 4, 1, 4, 4, 4, 2, 3, 1, 3, 3, 2, 2, 3, 4, 2, 4, 4, 1, 1, 2, 3, 3, 1, 1, 4, 4, 4, 4]",47,1665.576726436615,"[2, 4, 4, 4, 4, 2, 3, 1, 3, 3, 3, 2, 4, 2, 3, 2, 4, 4, 4, 1, 1, 2, 3, 3, 1, 1, 4, 4, 4, 4]",50,30.90079665184021,"[2, 4, 4, 4, 4, 2, 3, 1, 3, 3, 3, 2, 4, 2, 3, 4, 2, 4, 4, 1, 1, 2, 3, 3, 1, 1, 4, 4, 4, 4]",65,44.505972385406494
0009_generated_env,"[1, 4, 1, 1, 4, 1, 3, 2, 4, 4, 4, 1, 3, 2, 3, 3, 3, 3, 1, 3, 3, 2, 4, 4, 4, 4, 1, 3, 2, 4, 2, 2, 3, 1, 4, 1, 4, 4, 1, 3, 2, 3, 3, 3, 3]","[1, 4, 1, 1, 4, 1, 3, 2, 4, 4, 4, 1, 3, 2, 3, 3, 3, 3, 1, 3, 3, 2, 4, 4, 4, 4, 1, 3, 4, 2, 4, 4, 1, 3, 2, 3, 2, 2, 3, 1, 4, 1, 3, 3, 3]",72,1071.1494705677032,"[1, 4, 1, 1, 4, 1, 3, 2, 4, 4, 4, 1, 3, 2, 3, 3, 3, 3, 1, 3, 3, 2, 4, 4, 4, 4, 1, 3, 2, 4, 4, 4, 1, 3, 2, 3, 2, 2, 3, 1, 4, 1, 3, 3, 3]",77,36.18979859352112,"[1, 4, 1, 1, 4, 1, 3, 2, 4, 4, 4, 1, 3, 2, 3, 3, 3, 3, 1, 3, 3, 2, 4, 4, 4, 4, 1, 3, 2, 4, 4, 4, 1, 3, 2, 3, 2, 2, 3, 1, 4, 1, 3, 3, 3]",80,35.98300576210022
